UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
HueiFang,@HueiFang1,2022-11-21T23:59:53.000Z,"HueiFang
@HueiFang1
·
22 Nov 2022Replying to 
@kuanchungc
 and 
@formosanafro
更好笑的是，陳時中辭去部長職去參選市長，他們又說陳時中烙跑
2",,,2
CHēN,@exam22,2022-11-21T23:39:42.000Z,"CHēN
@exam22
·
22 Nov 2022「陳時中背後有民進黨最邪惡派系」 呱吉自爆「唯一選擇」的痛苦過程

最邪惡派系不是突然冒出來，是培養出來的
tw.news.yahoo.com
「陳時中背後有民進黨最邪惡派系」 呱吉自爆「唯一選擇」的痛苦過程
年底台北市長選舉最後倒數，北市議員「呱吉」邱威傑20日直播提到，自己觀察無黨籍候選人黃珊珊、民進黨候選人陳時中都能做好市長工作，重點是「...
1",,,1
Heidi Chiang,@ChiangHeidi,2022-11-21T23:39:36.000Z,"Heidi Chiang
@ChiangHeidi
·
22 Nov 2022Replying to 
@stevenjan02
不管是不是鐵綠 再試著拉一次票看看吧
跟他說台灣防疫成績真的不差 而且陳時中不是擋疫苗是擋人財路
現在這種情況多一票是一票
在這邊爭是不是鐵綠一點意義都沒有
1
14",1,,14
Formosa,@Indiana46th,2022-11-21T23:24:53.000Z,"Formosa
@Indiana46th
·
22 Nov 2022四叉貓爆高虹安接受宣明智指示 質疑陳時中疫苗！「台灣網」揭宣明智為中國挖台灣生技？(2022/11/21) https://youtu.be/GeFO34N2rGE 來自 
@YouTube
youtube.com
四叉貓爆高虹安接受宣明智指示 質疑陳時中疫苗！「台灣網」揭宣明智為中國挖台灣生技？(2022/11/21)
联系邮箱及Paypal账户：yaozhang2020@protonmail.comTwitter: https://twitter.com/yaozhang02#台灣 #中國 #高虹安",,,
ChenChen,@Chen57962136,2022-11-21T23:21:47.000Z,"ChenChen
@Chen57962136
·
22 Nov 2022感想：
再放上來
之前寫10幾篇，隨手挑幾個臺北市長柯文哲任內做的建設規劃
[https://twitter.com/Chen57962136/status/1591900733628387330…]
藍綠先抹黑[柯文哲黃珊珊與臺北市府]說臺北市停滯
蔣萬安與陳時中再去抄臺北市政的標題，當他們自己的政見
沒得抄的就亂講
像蔣萬安說要在公私立醫院增設長照病床以排擠其他病人而增死？簡直是災難
ChenChen
@Chen57962136
·
14 Nov 2022
感想：
覺得很煩
藍綠眼睛業障一直努力抹黑臺北市停滯
請問跟那些無良綠側翼有何差別
更不要說綠營陳時中競辦團隊與[無良側翼]之間關係很難脫身

2017.05.15柯文哲任內成功招商的內湖-內科之心BOT開發案
2017.12.19內科之心[開工]將成全國最大[創新]育成基地
(不怕失敗的培育鼓勵人才)
這樣叫停滯？
Show this thread",,,
Calm sand,@calmcalm86,2022-11-21T22:38:52.000Z,"Calm sand
@calmcalm86
·
22 Nov 2022我覺得陳時中這次有進步，
至少沒有把別人架走了。

陳時中市場拜票遇嗆聲 民眾怒喊：好意思出來選？ https://youtu.be/vAqmofknX8E 來自 
@YouTube
youtube.com
陳時中市場拜票遇嗆聲 民眾怒喊：好意思出來選？
民進黨台北市長候選人陳時中今(20日)一早到內湖區湖光市場掃街，吸引支持者前往相挺，但媒體聯訪完，人還沒踏進市場，立刻就有民眾在掃街隊伍前嗆聲，「你（陳時中）怎麼好意思出來選」。陳時中市場拜票，又遇婦人怒罵，「不是眼睛看不到未來嗎，眼睛看不到未來，就沒有遠見好嗎」，婦人隨後又痛批「眼睛看不到未來，就沒有未來，就不...",,,
ChenChen,@Chen57962136,2022-11-21T22:13:24.000Z,"ChenChen
@Chen57962136
·
22 Nov 2022[https://twitter.com/Chen57962136/status/1594778974311194625…]
摘要-12：
黃珊珊，在疫情爆發時，率先與旅館業者接洽，建立防疫專責旅館
讓台灣沒像香港一樣，在疫情爆發時，造成醫療體系崩潰

感想：
黃珊珊與臺北市府在疫情期，天天找旅館轉型防疫旅館、防疫專責旅館(醫護進駐)(附舊圖)
只看到柯文哲黃珊珊與市府救人
綠營陳時中打臺北
ChenChen
@Chen57962136
·
22 Nov 2022
柯文哲FB
[https://facebook.com/DoctorKoWJ/posts/pfbid03z3QS9C8p1ZYs3Ghr1boEsCDiVoCjfZRfXB1VEwEXDJjFq5PPRxR8vvuQpcJe22pl?__xts__%5B0%5D=68.ARDELh79ndOtZWR4FS8nEm14vHT8dkhD-bboj2LRBik5rnrNXXjITvjBVKzh87PvOUyr5fq6BzuynIvPBh7FcBJHrf2dlUfsuBS1dWTmy5_qbpQ_ic_8R_g2tUDAHUZIu8Tqhbg9EtL9Sf65gFEXJUaqyFXrS7cTWrw8FCgklnTGWNoQtOXfOB_SxDTUwS2YaKtlj2659vZzEHnxJKRqxGuYKj4LqeutePafK2NJT9u3fL0tg4-TCNVZrzsTRd29CgtDJyOqr1_m__whlKFzJwp3GrUqh8EqMknbylndiAlj-9zVxag&__tn__=-R…]
摘要-1：
在去年三級警戒最危險時刻
我與珊珊分工合作
當我去醫院，去了解醫護人員需求時
她就在各個社區快篩站，特別是剝皮寮，去現場解決每一個現場所發生的問題

感想：
黃珊珊當時還不能打疫苗
仍天天認真救萬華救臺北
[
Show this thread
1",,1,
年近半百的動漫控,@kcchen1006,2022-11-21T03:52:11.000Z,"年近半百的動漫控
@kcchen1006
·
21 Nov 2022剛剛看到 #陳時中 跟 #林佳龍 在萬華的宣傳車上面聯合拜票...
很吵～但是選舉期間又是白天大馬路，其實可以接受
只是我想要知道林佳龍的內心戲是什麼！？
是 FxxK 嗎？",,,
A4貓貓,@meow_meow__neko,2022-11-21T03:50:46.000Z,"A4貓貓
@meow_meow__neko
·
21 Nov 2022Replying to 
@ErikTang8
如果陳時中沒有當選臺北市長，民進黨真的需要檢討一下自己的競選策略了……就，挺可惜的吧，其實我挺看好陳時中的，只可惜那個影片簡直扣分太多。
1
1",1,,1
livhuang530,@livhuang0530,2022-11-21T03:49:36.000Z,"livhuang530
@livhuang0530
·
21 Nov 20222021/9/13： #宣明智 給了建議（指示？指導棋？）的訊息．
　
2021/9/22： 高虹安 在立法院質詢陳時中．
　
---
宣明智：
中華民國商界出身的臺灣政治人物、企業家，
曾任聯華電子總經理、也曾任聯華電子榮譽副董事長． https://facebook.com/1544705738/posts/pfbid01LP9xX12vAdFyFMKV3j6ZN4rs9gT13Z8nAzzjYeeZL5UFR3jiZUjBTpoYHpNamjXl/?d=n…
1
3",,1,3
